Time,Wound Temperature,Wound pH,Moisture Level,Drug Release,Infection
0,36.6,7.38,80,1.5,No
2,36.6,7.35,79.8,0,No
4,36.7,7.32,79.5,2.7,No
6,36.8,7.29,79.2,4.2,No
8,36.8,7.28,79,2.8,No
10,36.8,7.27,78.6,6.3,No
12,36.9,7.25,78.5,1.5,No
14,37,7.22,78.2,1,No
16,37,7.2,77.9,0.5,No
18,37.1,7.14,77.5,7.5,No
20,37.1,7.11,77.1,6.3,No
22,37.2,7.08,77,5.4,No
24,37.2,7.05,77,6.6,No
26,37.2,7.03,76.4,4.3,No
28,37.3,7.01,76.1,11.9,No
30,37.3,6.98,75.9,7.8,No
32,37.3,6.97,75.3,8.3,No
34,37.4,6.95,75,10,No
36,37.4,6.94,74.5,10,No
38,37.4,6.92,74.1,10,No
40,37.5,6.87,73.4,8.5,No
42,37.6,6.87,72.8,11.5,No
44,37.6,6.84,72.5,14.8,No
46,37.6,6.84,72,14.2,No
48,37.7,6.82,71.6,15.2,No
50,37.7,6.79,71,11.5,No
52,37.7,6.77,70.9,11.1,No
54,37.8,6.76,70.5,13.3,No
56,37.8,6.75,70,14.2,No
58,37.9,6.72,70,16.8,No
60,37.9,6.71,70,11.7,No
62,38,6.69,70.1,18.6,No
64,38.1,6.67,69.8,15.8,No
66,38.1,6.66,69.4,15.7,No
68,38.2,6.61,68.8,15.1,No
70,38.2,6.59,68.5,14.3,No
72,38.2,6.59,67.8,19.7,No
74,38.2,6.57,67.8,18.7,No
76,38.3,6.55,67.9,16.5,No
78,38.3,6.52,67.6,17,No
80,38.4,6.51,67.2,19.4,No
82,38.4,6.49,66.9,23.9,No
84,38.5,6.47,67,20.6,No
86,38.5,6.44,66.7,18.6,No
88,38.6,6.43,66.7,21.6,No
90,38.6,6.41,66.3,22.1,No
92,38.6,6.4,65.9,17.7,No
94,38.7,6.39,65.8,23.5,No
96,38.8,6.35,65.6,23.7,No
98,38.8,6.32,65.5,26,No
100,38.8,6.32,65.2,28.8,No
102,38.9,6.29,64.7,27.9,Yes
104,38.9,6.25,64.6,25.6,Yes
106,39,6.22,64.2,24.4,Yes
108,39,6.21,64,32.3,Yes
110,39.1,6.2,63.9,27.8,Yes
112,39.1,6.16,63.6,28.2,Yes
114,39.2,6.15,63.5,28.6,Yes
116,39.2,6.13,63.3,29.5,Yes
118,39.3,6.1,63.2,29.4,Yes
120,39.4,6.09,62.6,29,Yes
122,39.4,6.07,62.2,29.6,Yes
124,39.4,6.08,62.1,31.1,Yes
126,39.5,6.07,61.7,30.6,Yes
128,39.5,6.05,61.5,30.7,Yes
130,39.5,6.05,61.2,32.9,Yes
